,loss,accuracy,validation_accuracy
0,1.104895745554278,0.31685393258426964,tensor(0.3610)
1,1.1003441272243377,0.3685393258426966,tensor(0.3610)
2,1.0979336384804017,0.34606741573033706,tensor(0.3610)
3,1.0970789309470885,0.45393258426966293,tensor(0.3859)
4,1.0958302021026611,0.3303370786516854,tensor(0.3029)
5,1.0918951380637385,0.3303370786516854,tensor(0.3029)
6,1.0898298755768807,0.39775280898876403,tensor(0.3610)
7,1.0879267569511168,0.41797752808988764,tensor(0.3776)
8,1.0837979393620645,0.4044943820224719,tensor(0.3942)
9,1.080660027842368,0.3550561797752809,tensor(0.5062)
10,1.0769971762934039,0.3303370786516854,tensor(0.3029)
11,1.0784077029074393,0.4943820224719101,tensor(0.3817)
12,1.0749148514962965,0.45617977528089887,tensor(0.6266)
13,1.0711675074792677,0.34831460674157305,tensor(0.3485)
14,1.0673329830169678,0.43595505617977526,tensor(0.6183)
15,1.0643064898829306,0.40224719101123596,tensor(0.5934)
16,1.0623667355506652,0.3325842696629214,tensor(0.3237)
17,1.0580296631782287,0.36179775280898874,tensor(0.4979)
18,1.0575507648529545,0.44719101123595506,tensor(0.5643)
19,1.0554159052910344,0.5168539325842697,tensor(0.4274)
20,1.055204322261195,0.4,tensor(0.4564)
21,1.0522420713978429,0.5258426966292135,tensor(0.6432)
22,1.0453833168552769,0.5258426966292135,tensor(0.6556)
23,1.0454779940266763,0.5348314606741573,tensor(0.4606)
24,1.0420725076429305,0.3685393258426966,tensor(0.4440)
25,1.040929365542627,0.44269662921348313,tensor(0.5768)
26,1.0268652669845089,0.3595505617977528,tensor(0.3485)
27,1.0279759687762107,0.4134831460674157,tensor(0.3942)
28,1.0243844197642418,0.5258426966292135,tensor(0.5187)
29,1.0255097189257223,0.49213483146067416,tensor(0.4025)
30,1.0280186880019404,0.501123595505618,tensor(0.4730)
31,1.017357374391248,0.36179775280898874,tensor(0.3237)
32,1.0167615432893076,0.36629213483146067,tensor(0.3402)
33,1.0183432313703722,0.5056179775280899,tensor(0.6556)
34,1.011186876604634,0.4786516853932584,tensor(0.5726)
35,1.0009445105829546,0.42696629213483145,tensor(0.4066)
36,1.003696987705846,0.3842696629213483,tensor(0.3402)
37,0.9999515798784071,0.39775280898876403,tensor(0.3900)
38,0.9958906000660311,0.4943820224719101,tensor(0.6763)
39,0.9888951605366122,0.42921348314606744,tensor(0.4564)
40,1.0024629465995296,0.5078651685393258,tensor(0.5975)
41,0.9861792018336635,0.48764044943820223,tensor(0.5809)
42,0.9963952206796215,0.44719101123595506,tensor(0.5353)
43,0.9752183691147835,0.40898876404494383,tensor(0.4025)
44,0.9771844783136922,0.43595505617977526,tensor(0.4938)
45,0.9799673922600285,0.48764044943820223,tensor(0.5934)
46,0.9769175437188917,0.38202247191011235,tensor(0.3195)
47,0.9777620030987647,0.5191011235955056,tensor(0.5726)
48,0.970709010477989,0.39325842696629215,tensor(0.3527)
49,0.9587616170606306,0.39325842696629215,tensor(0.3693)
50,0.9802324098925437,0.451685393258427,tensor(0.6556)
51,0.9704056439861175,0.45393258426966293,tensor(0.5975)
52,0.9770434018104307,0.42921348314606744,tensor(0.4315)
53,0.9628389670002845,0.41123595505617977,tensor(0.4274)
54,0.9583274376007819,0.503370786516854,tensor(0.5643)
55,0.9555211701700764,0.4,tensor(0.3402)
56,0.9577918725629007,0.4898876404494382,tensor(0.6805)
57,0.9514232893143931,0.5056179775280899,tensor(0.6473)
58,0.9450254132670741,0.4898876404494382,tensor(0.5934)
59,0.9463443640739687,0.3842696629213483,tensor(0.3693)
60,0.9611957630803508,0.5168539325842697,tensor(0.6473)
61,0.9503144833349413,0.4337078651685393,tensor(0.4896)
62,0.943467136352293,0.4966292134831461,tensor(0.6722)
63,0.9382504186322612,0.4337078651685393,tensor(0.5228)
64,0.9427972608996976,0.44719101123595506,tensor(0.4979)
65,0.9527682508191755,0.42247191011235957,tensor(0.4440)
66,0.9404547560599542,0.4853932584269663,tensor(0.6183)
67,0.9265193343162537,0.39101123595505616,tensor(0.3859)
68,0.9467833811236966,0.4786516853932584,tensor(0.6598)
69,0.9396806224699943,0.43820224719101125,tensor(0.4938)
70,0.9297982819618718,0.40898876404494383,tensor(0.3900)
71,0.9271451811636647,0.48089887640449436,tensor(0.6432)
72,0.9359549591618199,0.4606741573033708,tensor(0.6100)
73,0.9225373768037365,0.4449438202247191,tensor(0.5477)
74,0.9291071103465173,0.4314606741573034,tensor(0.4896)
75,0.9135885392465899,0.48089887640449436,tensor(0.6349)
76,0.9183846904385474,0.4247191011235955,tensor(0.4730)
77,0.9258310044965437,0.4853932584269663,tensor(0.6017)
78,0.9075364105163082,0.4943820224719101,tensor(0.5975)
79,0.9251048680274717,0.48764044943820223,tensor(0.6556)
80,0.941986083984375,0.4314606741573034,tensor(0.5104)
81,0.9043191786735288,0.5146067415730337,tensor(0.5892)
82,0.9050815720711985,0.5213483146067416,tensor(0.6141)
83,0.9137471433608763,0.4584269662921348,tensor(0.6307)
84,0.9246176019791634,0.41797752808988764,tensor(0.4730)
85,0.9206138618530766,0.4337078651685393,tensor(0.4481)
86,0.9240228360699069,0.39325842696629215,tensor(0.3734)
87,0.9051905697391879,0.4853932584269663,tensor(0.4979)
88,0.9060569770874516,0.42696629213483145,tensor(0.5228)
89,0.9132682700310985,0.501123595505618,tensor(0.6929)
90,0.8902697274761815,0.4898876404494382,tensor(0.5394)
91,0.9168504880320641,0.5078651685393258,tensor(0.6929)
92,0.9011054327411037,0.41797752808988764,tensor(0.4357)
93,0.8912207945700614,0.42921348314606744,tensor(0.5062)
94,0.8881614535085617,0.48764044943820223,tensor(0.5851)
95,0.8932164292181691,0.5235955056179775,tensor(0.6307)
96,0.913419452405745,0.5168539325842697,tensor(0.6929)
